C1-T,pagecost,circ,percmale,medianincome,Market
Audubon,25315,1645,51.1,38787,Domestic
Better Homes & Gardens,198000,34797,22.1,41933,Domestic
Business Week,103300,4760,68.1,63667,Domestic
Cosmopolitan,94100,15452,17.3,44237,Domestic
Elle,55540,3735,12.5,47211,Domestic
Entrepreneur,40355,2476,60.4,47579,Domestic
Esquire,51559,3037,71.3,44715,Domestic
Family Circle,147500,24539,13,38759,International
First For Women,28059,3856,3.6,43850,Domestic
Forbes,59340,4191,68.8,66606,Domestic
Fortune,60800,3891,68.8,58402,Domestic
Glamour,85080,10891,7.8,46331,Domestic
Golf Digest,98760,6250,78.9,61323,Domestic
Good Housekeeping,166080,25306,12.6,38335,Domestic
Gourmet,49640,4484,29.6,57060,International
Harpers Bazaar,52805,2621,11.5,44992,International
Inc.,70825,2166,66.9,72493,International
Kiplinger's Personal Finance,46580,3332,65.1,63876,Domestic
Ladies Home Journal,127000,17040,6.8,38442,Domestic
Life,63750,14220,46.9,41770,Domestic
Mademoiselle,55910,4804,8,46694,International
Martha Stewart Living,93328,4849,16.6,61890,International
McCall's,113120,16301,7.6,33823,Domestic
Money,98250,9805,60.6,60549,Domestic
Motor Trend,79800,5281,88.5,48739,International
National Geographic,159345,32158,53,44326,Domestic
Natural History,20180,1775,45,41499,International
Newsweek,148800,20720,53.5,53025,Domestic
Parents' Magazine,72820,12064,18.2,39369,International
PC Computing,40675,4606,67,57916,Domestic
People,125000,33668,34,46171,Domestic
Popular Mechanics,78685,9036,86.9,40802,International
Reader's Digest,193000,51925,42.4,38060,Domestic
Redbook,95785,13212,8.9,41156,International
Rolling Stone,78920,8638,59.8,43212,Domestic
Runner's World,36850,2078,62.9,60222,International
Scientific American,37500,2704,70,62372,Domestic
Seventeen,71115,5738,17,37034,Domestic
Ski,32480,2249,64.5,58629,Domestic
Smart Money,42900,2224,63.4,57170,Domestic
Smithsonian,73075,8253,47.9,50872,Domestic
Soap Opera Digest,35070,7227,10.3,31835,International
Sports Illustrated,162000,21602,78.8,45897,Domestic
Sunset,56000,5276,38.7,52524,Domestic
